year_index,lam,a2,b1,b3,b5,c1,c2,r_g,K_l,a3,b2,b4,S0,L0,G0,Eh
0,0.00000000e+00,1.54197642e-15,-1.54197642e-15,1.54197642e-15,0.00000000e+00,0.00000000e+00,1.54197642e-15,-3.08395285e-15,0.00000000e+00,0.00000000e+00,1.54197642e-15,-1.54197642e-15,-1.54197642e-15,0.00000000e+00,9.76726102e-01,0.00000000e+00
1,5.48668910e-02,4.45723821e-03,-2.22885449e-01,7.19803106e-08,3.28119228e-01,-4.31940376e-03,-2.04323418e-01,5.80590359e-01,-4.78681945e-02,-5.25233493e-02,-1.51099598e-01,1.08988274e-01,3.23797784e-01,-1.56420950e-01,3.04309387e-02,0.00000000e+00
2,1.67318121e-01,1.63568006e-02,-3.15842943e-01,1.89865978e-07,4.55981325e-01,-4.79247620e-03,-1.66539782e-01,5.84977379e-01,-1.48165674e-01,-1.82363529e-01,-2.14169697e-01,1.54479537e-01,4.51190938e-01,-1.82227111e-02,4.40789341e-03,0.00000000e+00
3,2.61959378e-01,3.05803253e-02,-3.04541402e-01,3.40830213e-07,4.02465649e-01,-4.48134612e-03,-1.51066521e-01,5.80075068e-01,-2.35100651e-01,-3.27023075e-01,-2.06881286e-01,1.49508089e-01,3.97977541e-01,8.40123005e-02,3.46058146e-03,0.00000000e+00
4,3.61504831e-01,4.97165172e-02,-2.76701664e-01,4.69575437e-07,2.85754630e-01,-3.91764202e-03,-1.68604049e-01,5.83637305e-01,-3.28529056e-01,-5.13509130e-01,-1.88453405e-01,1.36678252e-01,2.81867879e-01,1.59773776e-01,2.70093080e-03,9.98527495e-09
5,6.91867368e-01,1.05131813e-01,-5.52169235e-01,1.93243238e-06,2.26851129e-01,-1.48001296e-03,-3.17822162e-01,5.81036444e-01,-6.33655684e-01,-1.06055752e+00,-3.75336770e-01,2.72542023e-01,2.25478994e-01,3.16216009e-01,2.79799087e-03,-1.09254039e-01
6,7.78160672e-01,1.16511098e-01,-1.08619463e+00,2.49276066e-06,1.54646310e-01,-4.19197340e-04,-3.73014183e-01,3.90743319e-01,-7.07455665e-01,-1.17743236e+00,-7.35608304e-01,5.33712899e-01,1.55694508e-01,3.39348052e-01,1.94468807e-03,-2.95107613e-01
7,1.82935450e-01,2.19034242e-02,-3.27257283e-01,2.14601099e-07,1.09519360e-02,-5.20368732e-05,-8.69207556e-02,9.24960273e-02,-1.45045383e-01,-2.23345074e-01,-2.20034440e-01,1.58907273e-01,1.08737260e-02,5.83678821e-02,1.85213536e-04,-1.22362757e-01
8,5.31210681e-01,-4.42817625e-02,4.99979996e-01,6.66248064e-04,-2.26828753e-01,6.81287502e-04,-7.43098867e-02,6.58349756e-02,9.40820189e-02,3.47527813e-01,3.36977615e-01,-2.41970030e-01,-2.28598667e-01,-1.67627098e-01,-1.81323817e-03,-5.53096482e-01
9,9.70996687e-01,-1.00201140e-01,1.39597412e+00,1.16982907e-06,-3.77394707e-01,-1.89745025e-02,-5.47695719e-02,6.61516780e-01,2.95660724e-01,8.09299183e-01,9.34542061e-01,-6.78427680e-01,-3.96372680e-01,-3.50798994e-01,-3.46796382e-03,-7.40276486e-01
10,6.58339957e-02,-7.61191193e-03,8.47221141e-02,4.93123193e-06,-9.18040967e-03,-2.25680236e-02,-3.20778689e-03,5.62524692e-01,2.23374065e-02,6.69363229e-02,5.67669732e-02,-4.12163979e-02,-3.13870292e-02,-2.47771966e-02,-5.73721217e-04,-6.67181191e-02
11,1.09101538e-02,-3.08199433e-03,7.64342521e-03,2.41282867e-06,9.54186311e-03,-1.78198381e-02,-2.30084589e-04,5.33667015e-01,4.30931044e-03,2.48490718e-02,4.81699788e-03,-3.24911667e-03,-8.55972336e-03,-5.04952833e-03,-1.52162894e-04,-2.22040505e-02
