year_index,elasticity_lam,elasticity_a2,elasticity_b1,elasticity_b3,elasticity_b5,elasticity_c1,elasticity_c2,elasticity_r_g,elasticity_K_l,elasticity_a3,elasticity_b2,elasticity_b4,elasticity_S0,elasticity_L0,elasticity_G0,elasticity_Eh
0,0.00000000e+00,1.57917141e-15,-1.57917141e-15,1.57917141e-15,0.00000000e+00,0.00000000e+00,1.57917141e-15,-3.15834281e-15,0.00000000e+00,0.00000000e+00,1.57917141e-15,-1.57917141e-15,-1.57917141e-15,0.00000000e+00,1.00028633e+00,0.00000000e+00
1,4.53909119e-02,3.68743523e-03,-1.84391234e-01,5.95486982e-08,2.71450244e-01,-3.57340596e-03,-1.69035025e-01,4.80317462e-01,-3.96009498e-02,-4.34521198e-02,-1.25003412e-01,9.01650709e-02,2.67875150e-01,-1.29405720e-01,2.51752565e-02,0.00000000e+00
2,1.29710394e-01,1.26803184e-02,-2.44851618e-01,1.47190219e-07,3.53491403e-01,-3.71528184e-03,-1.29107001e-01,4.53493297e-01,-1.14862800e-01,-1.41374078e-01,-1.66031244e-01,1.19757510e-01,3.49777741e-01,-1.41268323e-02,3.41714088e-03,0.00000000e+00
3,1.98828996e-01,2.32106803e-02,-2.31149049e-01,2.58692510e-07,3.05474236e-01,-3.40137298e-03,-1.14660544e-01,4.40281025e-01,-1.78443035e-01,-2.48212796e-01,-1.57024340e-01,1.13477683e-01,3.02067731e-01,6.37659224e-02,2.62660548e-03,0.00000000e+00
4,2.77944087e-01,3.82246952e-02,-2.12742915e-01,3.61034501e-07,2.19703315e-01,-3.01209097e-03,-1.29631735e-01,4.48731315e-01,-2.52590563e-01,-3.94813054e-01,-1.44892973e-01,1.05085489e-01,2.16714975e-01,1.22842553e-01,2.07661885e-03,7.67720897e-09
5,6.28297229e-01,9.54720946e-02,-5.01434836e-01,1.75487668e-06,2.06007599e-01,-1.34402645e-03,-2.88620035e-01,5.27649669e-01,-5.75434150e-01,-9.63111404e-01,-3.40850087e-01,2.47500324e-01,2.04761539e-01,2.87161458e-01,2.54090595e-03,-9.92155620e-02
6,1.77187705e+00,2.65296548e-01,-2.47327242e+00,5.67603266e-06,3.52130680e-01,-9.54515142e-04,-8.49355785e-01,8.89725145e-01,-1.61088127e+00,-2.68102135e+00,-1.67498502e+00,1.21526783e+00,3.54517433e-01,7.72697780e-01,4.42806773e-03,-6.71962005e-01
7,2.12956618e+00,2.54979511e-01,-3.80962817e+00,2.49818854e-06,1.27492362e-01,-6.05765398e-04,-1.01185146e+00,1.07675364e+00,-1.68848489e+00,-2.59997785e+00,-2.56143849e+00,1.84985225e+00,1.26581913e-01,6.79465178e-01,2.15608557e-03,-1.42443462e+00
8,6.06668178e+00,-5.05719052e-01,5.71001232e+00,7.60887373e-03,-2.59049359e+00,7.78063135e-03,-8.48654691e-01,7.51867124e-01,1.07446196e+00,3.96893498e+00,3.84844663e+00,-2.76341426e+00,-2.61070686e+00,-1.91438218e+00,-2.07080530e-02,-6.31662817e+00
9,7.82021879e-01,-8.07000532e-02,1.12429046e+00,9.42157621e-07,-3.03946370e-01,-1.52816959e-02,-4.41103499e-02,5.32772772e-01,2.38119407e-01,6.51793849e-01,7.52662032e-01,-5.46392482e-01,-3.19230861e-01,-2.82526699e-01,-2.79303073e-03,-5.96204309e-01
10,4.53219032e-02,-5.24024605e-03,5.83249948e-02,3.39479343e-06,-6.32004231e-03,-1.55364378e-02,-2.20832725e-03,3.87257212e-01,1.53776748e-02,4.60807751e-02,3.90799197e-02,-2.83744831e-02,-2.16076798e-02,-1.70572923e-02,-3.94965203e-04,-4.59305577e-02
11,7.41711814e-03,-2.09525150e-03,5.19627759e-03,1.64032841e-06,6.48690451e-03,-1.21145720e-02,-1.56419846e-04,3.62806186e-01,2.92962548e-03,1.68933000e-02,3.27476981e-03,-2.20886732e-03,-5.81921030e-03,-3.43285244e-03,-1.03445853e-04,-1.50951186e-02
